Turismiobjekti nimi,Turismiobjekti kirjeldus,Kategooria,Tüüp,Teemaviited,Turismiobjekti koduleht,Turismiobjektii e-post,Turismiobjekti tel nr,Turismiobjekti aadress,Broneerimise link,Kvaliteedimärgised,Omadused ja üldine varustus,Tärnid,facebook,instagram,tiktok,X,Ettevõtte registrikood,Ettevõtte nimi,Ettevõtte aadress,Ettevõtte telefon,Ettevõtte e-post,Ettevõtte koduleht,Piirkond,Turismipiirkonnad ja kultuuriruumid,Saared,Hooaeg,Hooaja periood,Lahtiolekuaeg,Avatud ajad,Juurdepääsupiirangud,Tubade arv kokku,Voodikohad,Voodikohtade arv kõrghooajal,Voodikohtade arv madalhooajal,Haagissuvila kohtade arv,Telkimiskohtade arv
Ainja Puhkemaja,"Ainja Puhkemaja on väike peremaja, mis asub Mulgimaal Karksi-Nuiast mõned kilomeetrid Tõrva suunal asuva Ainja maastikukaitseala serval. Otse maja ees olev vana loodusmets (läänetaiga) ja selle taga olev järv kuuluvad Ainja maastikukaitsealasse. Külastajaid ootab järve kaldal telksaun koos paadiga, majas on kuivkäimla. Magamiskohti jagub kuni viiele inimesele, köögis on kõik vajalik edukaks toimetamiseks ning lastele leidub arendavaid lauamänge. Õues saab mõnusalt grillida ja leiab ka välidušši.",Majutus,Puhkemaja,,https://www.facebook.com/Ainjapuhkemaja,cardopaap@gmail.com,+372 526 6749,"Kanaharjaku, Ainja küla, Mulgi vald, Viljandi maakond",https://www.booking.com/hotel/ee/ainja-puhkemaja.et.html?label=gen173nr-1FCBcoggI46AdIM1gEaEKIAQGYAQu4ARjIAQzYAQHoAQH4AQKIAgGoAgS4Arz8tr0GwAIB0gIkNTBjMmFjNDktZDhhNC00Zjc4LTgyYzMtOTFkOGFlYmE2Yjhk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=5057192&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=252c441e5f3413b7&srepoch=1739439825&from=searchresults,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats",,https://www.facebook.com/Ainjapuhkemaja,,,,14750526.0,Ainja OÜ,"KANAHARJAKU, Ainja küla, Mulgi vald, Viljandi maakond",+372 5266749,cardopaap@gmail.com,,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,1.0,5.0,0.0,0.0,0.0,3.0
Aisa Kodumajutus,"Aisa kodumajutuse leiad Pärnu vaiksest kõrvaltänavast, kesklinna ja mereranna lähedalt. Rannani on vaid väike jalutuskäik. Hoone on renoveeritud spetsiaalselt majutustegevuseks, külastajaid majutatakse eraldi numbritubades.Fuajees on saadaval kohvimüügiautomaat, hommikusööki me ei paku. Lähimad toitlustuskohad on 5 minutise jalutustee kaugusel.Kinnises hoovis on parkimiskohti kuuele väiksemale autole.Suvel pakume võimalust teha lõbu- või tellimussõite kaatriga.",Majutus,Kodumajutus,,http://www.aisamajutus.ee,info@aisamajutus.ee,+372 5042502,"Aisa tn 4a/1, Pärnu linn, Pärnu linn, Pärnu maakond",http://aisamajutus.ee/et/aisa-broneerimine,,"Konditsioneer,Külmutuskapp,Parkimine tasuline,Parkimine tasuta,WC,WIFI",,,,,,11216157.0,KINMAR Osaühing,"Aisa 4A, Pärnu, Pärnu maakond",,mkabin@hot.ee,,Lääne-Eesti,,,Hooajaliselt,1 Mai - 14 Juuni,Ainult ettetellimisel,,,10.0,20.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 September - 30 Aprill,Ainult ettetellimisel,,,10.0,20.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Juuni - 15 August,Igapäevaselt sama,10:00-20:00,,10.0,20.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,16 August - 31 August,Ainult ettetellimisel,,,10.0,20.0,0.0,0.0,0.0,0.0
Aki Kämping,"Aki Kämping Muhu saarel on mugavalt lähedal Püha Katariina kirikule, kohalikele poodidele, restoranile ja pubile, asudes kõigest 200 m kaugusel bussipeatusest. Telkimis- ja haagissuvilakohad ning kõigi mugavustega  majakesed asuvad vanas õunaaias.",Majutus,"Puhkeküla, karavanid",,,aki@muhusaar.ee,+372 5148211,"Aki, Viira küla, Muhu vald, Saare maakond",,,"Haagissuvila/karavani parkla,Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,WC",,,,,,10185495.0,OÜ SUUREVALLA,"Piiri küla, Muhu vald, Saare maakond",,suurevalla@gmail.com,,Lääne-Eesti,,,Hooajaliselt,1 Mai - 1 Oktoober,Ööpäevaringselt,00:00-24:00,,0.0,0.0,24.0,24.0,5.0,10.0
Ala-Juusa puhkemaja,"Ala-Juusa puhkemaja asub väikese järve kaldal. Kahekorruselise palkmaja esimesel korrusel on kaminaruum, kuhu mahub pidu pidama 22 inimest, kööginurk ja saun eesruumiga.Teisel korrusel on 2 tuba majutuseks 8-le inimesele.Õues on kümblustünn, mille kasutamine on eriti ahvatlev talvel, kui õues on parajalt külm. Pakume toitlustust eelneval tellimisel. Lähedal asuvad matkarajad ja muuseumid.Olemas supluskoht, saun ja saunavihad, lõkkeplats, grillimiskoht vaba aja veetmiseks ja lõõgastuseks.",Majutus,Puhkemaja,,,puhkemaja@alajuusa.ee,+372 503 3661,"Mariani, Ihamaru küla, Kanepi vald, Põlva maakond",https://www.booking.com/hotel/ee/ala-juusa-holiday-home.et.html,,"Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,Saun,WC",,https://www.facebook.com/profile.php?id=100069906632569,,,,11075857.0,OÜ ALA JUUSA,"Ihamaru küla, Kanepi vald, Põlva maakond",+372 5033661,puhkemaja@alajuusa.ee,http://www.alajuusa.ee,Lõuna-Eesti,Vana-Võromaa,,Hooajaliselt,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,2.0,8.0,8.0,8.0,0.0,0.0
Ala-Rõuge Külalistemaja,"Ala-Rõuge Külalistemaja on soodne peatuspaik Rõuge südames. Vana mõisa veskihoone (1885), kus aastaid tegutsesid mitmed ettevõtted, renoveeriti külalistemajaks. Külalistemaja on ruumikas ja pererahvas lahke.Külalistemajast kiviviske kaugusel asub Eesti kõige sügavaim järv, Rõuge Suurjärv, kus võib suvel supelda. Kaunis looduses on huvitavad matkarajad. Jalgsimatkad ning talvel suusamatkad või uisutamine pakuvad rõõmu nii suurtele kui väikestele. Hea teada: Kui sajune või külm ilm takistab matkama minekut, siis lauamängud pakuvad külalistemajas head ajaviidet.",Majutus,Külalistemaja,,https://www.alarouge.ee,info@alarouge.ee,+372 522 6384,"Veski tn 4, Rõuge alevik, Rõuge vald, Võru maakond",,,"Parkimine tasuta,WC,WIFI",,,,,,10911323.0,Ala-Rõuge Külalistemaja OÜ,"Võru maantee 13, Rõuge alevik, Rõuge vald, Võru maakond",+372 5226384,info@alarouge.ee,http://www.alarouge.ee,Lõuna-Eesti,Vana-Võromaa,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,13.0,34.0,62.0,50.0,0.0,0.0
Alanurme kodumajutus,"Alanurme kodumajutus on armas ja taskukohane koht Võrumaal Rõuge vallas Missokülä külas. Siin võid peatuda pikemalt - puhata vaikuses, eemal linnamelust. Lisaks leiavad siin öömaja ka kõik need, kes vajavad lihtsalt kiiret peatuspaika.Tavapärasele soome saunale lisaks on talu õuel väikese tiigi kaldal ka suitsusaun. Vaba aega saad sisustada aktiivselt: sõida jalgrattaga mööda Eestimaa looduskaunist kagunurka või hoopis võta ette vahva matk läheduses asuvate järvede äärde - Hino järv, Pullijärv, Kisejärv.
Olete oodatud!",Majutus,Kodumajutus,,http://ylenurmetalu.weebly.com/,siirisaarniit01@gmail.com,+372 51992016,"25166 Missoküla-Laura tee, Missokülä, Rõuge vald, Võru maakond",,,"Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,WC",,,,,,11960938.0,Siiri Saarniit,"Ülenurme Talu, Missokülä küla, Rõuge vald, Võru maakond",+372 51992016,siirisaarniit01@gmail.com,http://ylenurmetalu.weebly.com,Lõuna-Eesti,Vana-Võromaa,,Hooajaliselt,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,2.0,11.0,11.0,11.0,0.0,0.0
Alatskivi lossi sviidid,"Veeda öö muinasjutulossis!Meie soov on pakkuda oma külalistele rahuliku ja meeldivat puhkuse elamust. 
Alatskivi lossi teisel korrusel on ainult neli tuba, mis pakuvad majutusvõimalust kokku kaheksale külalisele. Igas toas on tualett ja vannituba. Kõik toad on unikaalsed ja renoveeritud ajastule kohaselt. 
Lisaks meeldivale majutusele on meie külalistel võimalik õhtustada lossi a la carte restoranis. Menüü koostamisel lähtume alati põhimõttest pakkuda kõike paremat Peipsi järvest ja  loomulikult kohaliku ulukiliha. ",Majutus,Hotell,,https://www.alatskiviloss.ee/lossirrestoranjasviidid/lossi-sviidid,alatskivi@lossirestoran.eu,+372 5303 2485,"Lossi tn 6, Alatskivi alevik, Peipsiääre vald, Tartu maakond",https://www.booking.com/hotel/ee/alatskivi-castle.et.html?label=alatskivi-uzwPgNxzFwDZksspzdPzrQS624535474449%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-1220720905862%3Alp9061558%3Ali%3Adec%3Adm&sid=03bf0b71abafddd36811aa464296a49d&gclid=Cj0KCQjw58PGBhCkARIsADbDilwwp8__dBP-fp6f3SwrZTD0VYbc_SYyp-Cui0XQ2WZ2MWk2nMzu820aAmChEALw_wcB&aid=398989,,"Külmutuskapp,Parkimine tasuta,Toitlustus,WC,WIFI",,https://www.facebook.com/Lossirestoran/,,,,10536090.0,OÜ Slaker,"Lossi tänav 10, Alatskivi alevik, Peipsiääre vald, Tartu maakond",,liia@lossirestoran.eu,,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,4.0,8.0,8.0,8.0,0.0,0.0
Ale-Sepa Puhkekompleks Toosikannu Looduspargis,"Ale-Sepa Puhkekompleks on Toosikannu keskusest 4,5km kaugusel asuv auväärse ajalooga talumajast renoveeritud puhkekompleks.Siin on olemas kõik võimalused, et viia läbi privaatseid sündmusi kuni 50-le inimesele.
Talumajas on suur peosaal, puuküttel soome saun ning kümblustünn. Lisaks gaasikütte võimalusega maakividest katusealune koos laudadega. Teisel korrusel on seminarisaal, kuhu mahub teatristiilis istudes 50 inimest ja kõrvalasuvas puhkemajas on 20 kõigi mugavustega tuba 40 voodikohaga. Minimaalne tellimus on 9 tuba.
Ideaalne puhkekompleks suvepäevade, koolituste ja pulmade korraldamiseks!",Majutus,Puhkemaja,,https://toosikannu.ee/majutus/ale-sepa/,info@toosikannu.ee,+372 489 8160,"Toosikannu, Jõeküla, Türi vald, Järva maakond",https://hotel.toosikannu.ee/et/,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,https://www.facebook.com/toosikannu,https://www.instagram.com/toosikannu,,,11142720.0,Toosikannu OÜ,"Toosikõnnu, Jõeküla, Türi vald, Järva maakond",+372 56935465,info@toosikannu.ee,http://www.toosikannu.ee,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,20.0,40.0,0.0,0.0,0.0,0.0
Aleksandri Hotell,"Tartu linna südames Aleksandri tänaval ootab Sind Aleksandri hotell, mis jääb 15-minutilise jalutustee kaugusele vanalinnast. Pakume kolmel korrusel erineva suuruse ja hinnaklassiga tubasid. Külalistel on võimalik parkida oma auto hotelli parklasse maja siseõuel. Hotelli vahetusse lähedusse jäävad Aura Veekeskus, teaduskeskus AHHAA, teater Vanemuine ja mitmed ostu- ja meelelahutuskeskused. Nädalavahetustel on võimalik nautida elavat muusikat kõrvalolevas pubis.
Aleksandri hotellis ootab Sind hubane õhkkond ning sõbralikku ja hoolivat teenindust pakkuv personal.",Majutus,Hotell,"Lemmikloomasõbralik,Peresõbralik",https://aleksandri.ee/,aleksandri@aleksandri.ee,+372 736 6659,"Aleksandri tn 42, Tartu linn, Tartu linn, Tartu maakond",https://online.bookvisit.com/accommodation?channelId=62443d03-2a28-4f0b-868b-322230ca47fe,,"Allergikute toad,Invatoad,Parkimine tasuta,Peretoad,Toitlustus,WC,WIFI",,https://www.facebook.com/aleksandri.hotell,https://www.instagram.com/aleksandrihotell/,,,16570202.0,Mõisavärava OÜ,"Mõisavärava tn 1, Raadi alev, Tartu vald, Tartu maakond",,nele@borgkv.ee,,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,39.0,95.0,95.0,95.0,0.0,0.0
Alex Maja Hotell,"Alex Maja Hotell Pärnu kesklinnas on unikaalne ja stiilne majutuskoht pakkudes kõiki kaasaegseid mugavusi. See sajanditevanune kaupmehemaja on täielikult restaureeritud ja elegantselt sisustatud ning pakub hubast ja turvalist majutust. Rahulik õhkkond sobib ideaalselt lõõgastavaks puhkuseks nii paaridele kui peredele. Alex Maja on lähedal nii rohelistele parkidele, kuldsele liivarannale kui ka suurematele kaubanduskeskustele ja ööklubidele.Alex Maja ehteks on sõbrad, kes seda külastavad!",Majutus,Hotell,,http://alexmaja.ee/alexmaja/,info@alexmaja.ee,+372 4461866,"Kuninga tn 20, Pärnu linn, Pärnu linn, Pärnu maakond",https://www.booking.com/hotel/ee/alex-maja.en-gb.html?aid=318615&label=English_Estonia_EN_EE_29381413945-Xiow9ZuTzpiWLxjSB6bIfwS640938720686%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atidsa-64415224945%3Alp9061560%3Ali%3Adec%3Adm%3Aag29381413945%3Acmp638590281&sid=d993c03ad59d1c0142e37d2386c183c7&dest_id=-2624430&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1736252165&srpvid=252c5640a51f0237&type=total&ucfs=1&,,"Külmutuskapp,Parkimine tasuline,Parkimine tasuta,WC,WIFI",,https://www.facebook.com/Hotel-Alex-Maja-159722900719603/,https://www.instagram.com/hotel_alexmaja/,,,11494821.0,Alexmaja OÜ,"Kuninga tänav 20, Pärnu linn, Pärnu maakond",+372 4461866,info@alexmaja.ee,,Lääne-Eesti,,,Hooajaliselt,1 Aprill - 30 September,Igapäevaselt sama,09:00-22:00,,10.0,21.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Oktoober - 31 Märts,Igapäevaselt sama,12:00-22:00,,10.0,21.0,0.0,0.0,0.0,0.0
Algallika külalistemaja Matsalu rahvuspargis,"Algallika külalistemaja sobib vaikust ja rahu hindavale inimesele.
Seminariruumid asuvad omaette, saad olla ainult oma seltskonnaga.Korralda laager, koolitus, või sünnipäev.
Suur saal kuni 80-le. Hubane kaminasaal väiksema ürituse korraldamiseks. 
Privaatses mererannas on 2,3km pikkune loodusrada - Kadakarada maaliliste vaadetega laidudele.
Meri on maja kõrval, õhtuks saun ja minispaa. Veeda romantiline õhtu kahekesi või seltskonnaga.
Naudi mere ja taeva avarust ja puutumatut loodust Matsalu rahvuspargi rannaniitude ja kadakate vahel!",Majutus,Külalistemaja,"Peresõbralik,Telkimisplatsid",http://www.algallika.ee,algallika@algallika.ee,+372 5556 6088,"Mäe, Rooglaiu küla, Lääneranna vald, Pärnu maakond",,,"Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,Seminariruum,WC,WIFI",,https://www.facebook.com/Algallika,https://www.instagram.com/algallika/,,,11386729.0,Teine Tee OÜ,"Orava tänav 28, Tabasalu alevik, Harku vald, Harju maakond",+372 5566088,algallika@algallika.ee,http://www.algallika.ee,Lääne-Eesti,Matsalu rahvuspark,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,11.0,0.0,33.0,31.0,0.0,40.0
Alice Backyard,"Alice Backyard - Sinu meeleolukas puhkus Pärnus. Kaasaegsed, vastrenoveeritud, hubaselt sisustatud külaliskorterid ja kaheinimese toad  asuvad Pärnu rannapiirkonnas ning annavad kindluse, et mõnus öömaja Pärnus on ootamas.Alice Backyard on privaatne ja turvaline – meie korterid ja toad on koodilukuga. Olles eemal suurest melust, asume siiski jalutuskäigu kaugusel Pärnu rannast ja kesklinnast. Meie juures saad nautida spaaelamusi  ja lõõgastavat massaaži.
September-mai pakume võimalust korraldada sinu eriline sündmus - sünnipäev, firmapidu, tüdrukuteõhtu, meie juures. Kogumaja broneerimine seltskondadele alates 8 inimest.Suvekuudel juuni, juuli ja august pakume buffet-hommikusööki, mida serveeritakse aiakohviku hubasel terrassil. 
Võta ette vahva perepuhkus või väljasõit sõpradega – Alice Backyard ootab Sind!",Majutus,Kodumajutus,Peresõbralik,https://alicebackyard.ee/,info@alicebackyard.ee,+372 554 0046,"Karusselli tn 46, Pärnu linn, Pärnu linn, Pärnu maakond",https://bouk.io/booking/alice-backyard/439/rooms/107,,"Konditsioneer,Külmutuskapp,Parkimine tasuta,Pesumasin,Saun,Toitlustus,WC,WIFI",,https://www.facebook.com/Alicebackyard.ee/,https://www.instagram.com/alice_backyard_est/,,,14077609.0,Memmemajutus OÜ,"Karusselli tänav 46, Pärnu linn, Pärnu maakond",+372 53414679,memmemajutus@gmail.com,,Lääne-Eesti,,,Hooajaliselt,1 Juuni - 31 August,Ainult ettetellimisel,,,7.0,20.0,20.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 September - 31 Mai,Ainult ettetellimisel,,,7.0,20.0,0.0,16.0,0.0,0.0
Allee Apartments,"Allee Apartments pakub ööbimisvõimalust kahes hubases korteris, mis asuvad armsas puitmajas Kuressaare lossipargi ääres. Ühte korterisse mahub ööbima kuni 4 inimest. Võttes 2 korterit on terve maja teie päralt. Ideaalne lastega peredele. Tänu suurepärasele asukohale on enamus vaatamisväärsused, söögikohad, meelelahutusasutused, kauplused ja Kuressaare supelrand lühikese jalutuskäigu kaugusel (kuni 700 m). Korteris on magamistuba, köök-elutuba lahtikäiva diivanvoodiga ja duširuum. Köögis on täisvarustus söögi valmistamiseks, sh nõudepesumasin, praeahi, külmkapp, veekeetja ja presskann.",Majutus,Külaliskorter,,,merike.ilvest@gmail.com,+372 5298877,"Allee tn 6, Kuressaare linn, Saaremaa vald, Saare maakond",https://www.booking.com/hotel/ee/allee-apartments.et.html,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,,,,,12057761.0,Allee Apartments OÜ,"Kase tänav 2, Kuressaare linn, Saaremaa vald, Saare maakond",+372 5298877,merike.ilvest@gmail.com,http://www.alleeapartments.ee,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,0.0,8.0,8.0,0.0,0.0,0.0
Allika külaliskorter,"Kärdla vaiksel kõrvaltänaval asub üks äärmiselt hubane, kuid skandinaavialikult rustikaalne külaliskorter. Pisike, aga samas avar korter on eraldi sissepääsuga ning aknad asetsevad Allika tänava poole.Korteris on kaheinimese voodi, kööginurk ja duširuum. Kivimaja paksud telliskivimüürid hoiavad kuumadel suvepäevadel korteri mõnusalt jaheda.Aja sisustamiseks leiad meie juurest palju raamatuid ja ajakirju. Korterist jalutuskäigu kaugusel asuvad Kärdla keskväljak ning sadam.Õhtupäikseline korter on väga kodune ja hubane peatuspaik!",Majutus,Külaliskorter,,http://www.roose.ee/allika-apartment,info@roose.ee,+372 527 0977,"Allika tn 11, Kärdla linn, Hiiumaa vald, Hiiu maakond",,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,,,,,12805795.0,Kaupmar OÜ,"Loigu tänav 10, Kärdla linn, Hiiumaa vald, Hiiu maakond",+372 56903202,mart@roose.ee,,Lääne-Eesti,,Hiiumaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,1.0,2.0,0.0,0.0,0.0,0.0
Allika talu Atlas,"Allika talu on koht kus aeg peatub ja unub argipäev.Meie hubases palkmajas on lahedalt ruumi perele või sõprusseltskonnale. Peamaja esimesel korrusel on elutuba, vannituba ja täisvarustuses köök. Teisel ja kolmandal korrusel asuvad magamistoad. Aidamaja pakub majutust kahele.Tule ja lase oma meelel puhata leilisaunas või puhta allikaveega täidetud kümblustünnis. Suveköögis on mõnus ühiselt süüa teha ja nautida kõige erilisemaid päikeseloojanguid.Tipi telki mahub ümber lõkke istuma 25 inimest.Lapsed saavad sõita jalgratastega, ronida köisraudteel või silitada küülikuid.Allika talu ootab sind!",Majutus,Puhkemaja,,https://allikatalu.ee/,info@allikatalu.ee,+372 53333381,"Allika, Atla küla, Saaremaa vald, Saare maakond",,,"Konditsioneer,Külmutuskapp,Parkimine tasuta,Peretoad,Puhkeala/piknikuplats,Saun,WC,WIFI",,https://www.facebook.com/allikatalumajutus/,https://www.instagram.com/allikaloghouse/,,,11450967.0,Coolweb OÜ,"Atla küla, Saaremaa vald, Saare maakond",+372 53333381,sven@svensoome.com,,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Mai - 31 Oktoober,Ainult ettetellimisel,,,4.0,12.0,15.0,0.0,0.0,2.0
Allikukivi veinimõisa glämping,"Mugav ööbimisvõimalus ruumikas ja avaras telgis, mis meenutab olemuselt pigem tuba ning sisustatud kõigega, mis mõnusaks ööbimiseks vajalik.
Ühes telgis on voodid kuni neljale ööbijale, kus on võimalik ennast puhaste linade vahel välja sirutada. Samuti on olemas pesemisvõimalus.
Õhtune veinimõisa tuur koos degusteerimisega pererahva juhendamisel ja mõnus hommikusöök mõisa terrassil kuulub öömaja juurde. 
Loodussõpradele pakuvad avastamist Allikukivi koopad, Nigula või Tolkuse raba või hoopis Soomaa Rahvuspargi rajad, ajaloohuvilistele aga Allikukivi, Voltveti ja Vana-Kõpu mõis.",Majutus,Elamusmajutus,Telkimisplatsid,https://www.allikukivi.ee/majutus/,info@allikukivi.ee,+372 525 2800,"Kooli tee 2, Allikukivi küla, Saarde vald, Pärnu maakond",https://bouk.io/booking/allikukivi/424/rooms/64,,"Parkimine tasuta,Puhkeala/piknikuplats,WC",,https://www.facebook.com/allikukiviveinimois,,,,14004585.0,Allikukivi Veinikoda OÜ,"Kooli tee 2, Allikukivi küla, Saarde vald, Pärnu maakond",,ott.hein@gmail.com,http://allikukivi.ee,Lääne-Eesti,,,Hooajaliselt,1 Juuni - 30 August,Ainult ettetellimisel,,,0.0,0.0,0.0,0.0,0.0,4.0
Altja Villa - saunaga puhkemaja,"Tere tulemast Lahemaa rahvusparki-looge oma unistuste puhkus Altja kalurikülas.
Tänapäeva kiire elurütmis, kus linnamelu ja ülerahvastatus on igapäevased kaaslased, on privaatsus, loodus ja vaikus tõeline luksus. Õnneks on olemas veel kohti, kus seda luksust nautida saab ning üks selline haruldus on Altja Villa, Altja külas, Lahemaal.
Meie juures leiate hubase majakese saunaga, privaatse mereranna, kus saate vaadelda merelinde ning istuda ja kuulata looduse hääli.
Hästivarustatud majakeses on söögituba vaatega aiale ja merele, elutuba kaminaga ning saun.
Tere tulemast!",Majutus,Külalistemaja,Lemmikloomasõbralik,https://www.altjavilla.ee,altjavilla@gmail.com,+372 5557 6426,"Altja küla, Haljala vald, Lääne-Viru maakond",https://www.booking.com/hotel/ee/altja-villa.et.html,,"Gruppide toitlustus,Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,Saun,Toitlustus,WC,WIFI",,https://www.facebook.com/altjavilla,https://www.instagram.com/altjavilla,,,14399164.0,PisiPai OÜ,"Allika, Altja küla, Haljala vald, Lääne-Viru maakond",+372 5557 6426,marina.mall@hotmail.com,,Põhja-Eesti,Lahemaa rahvuspark,,Hooajaliselt,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,1.0,3.0,2.0,0.0,0.0,0.0
Altmõisa külalistemaja,"Romantiline Altmõisa asub 100 km Tallinnast ja Pärnust, 18 km Haapsalust. Lähedal on meri, Matsalu maastik, üle maja viib rändlindude tee. Valgusküllased maalitud seintega toad on erinäolised. Altmõisa köök keskendub kohaliku tooraine väärtustamisele.
Altmõisas peetakse seminare, pidusid ja laagreid. Meid külastavad loodusturistid, et kogeda puutumata Läänemaa looduse võlu. Maja sobib perepuhkuseks, romantikutele ja ka gruppidele, kes tahavad nautida vaikust. 
Altmõisa on suurepärane ühe seltskonna maja, kus saad segamatult pühenduda nii koolitusele kui lõõgastumisele. Seminarid 60 inimesele.",Majutus,Külalistemaja,EUROPARC,https://www.altmoisa.ee,info@altmoisa.ee,+372 5300 8622,"Altmõisa, Tuuru küla, Haapsalu linn, Lääne maakond",https://bouk.io/booking/Altmoisa/631/rooms/320,,"Gruppide toitlustus,Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,Saun,Seminariruum,Toitlustus,WC,WIFI",,https://www.facebook.com/Altmoisa/?fref=ts,https://www.instagram.com/altmoisa,,,10835792.0,OÜ Altmõisa,"Tuuru küla, Haapsalu linn, Lääne maakond",+372 53008622,info@altmoisa.ee,http://www.altmoisa.ee,Lääne-Eesti,Matsalu rahvuspark,,Hooajaliselt,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,13.0,50.0,0.0,0.0,0.0,10.0
